State,CourtName,CaseTypeDescription,AppealByRight,AppealByPermission,OriginalProceeding,InterlocutoryAppeal,Exclusive,Limited,MinValue,MaxValue,Notes
Colorado,District,Civil Appeals from Limited Jurisdiction,False,False,False,False,False,False,-98,-98,
Colorado,District,Dissolution,False,False,False,False,False,False,-98,-98,
Colorado,District,Paternity,False,False,False,False,False,False,-98,-98,
Colorado,District,Custody,False,False,False,False,False,False,-98,-98,
Colorado,District,Support,False,False,False,False,False,False,-98,-98,
Colorado,District,Visitation,False,False,False,False,False,False,-98,-98,
Colorado,District,Adoption,False,False,False,False,False,False,-98,-98,
Colorado,District,Felony,False,False,False,False,False,False,-98,-98,
Colorado,District,Criminal Appeals,False,False,False,False,False,False,-98,-98,
Colorado,District,Status Offenses,False,False,False,False,False,False,-98,-98,
Colorado,District,Juvenile,False,False,False,False,False,False,-98,-98,
Colorado,District,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Colorado,District,Probate/Wills/Interstate,False,False,False,False,False,False,-98,-98,
Colorado,District,Civil Protections Orders,False,False,False,False,False,False,-98,-98,
Colorado,District,Estate,False,False,False,False,False,False,-98,-98,
Colorado,District,Tax,False,False,False,False,False,False,-98,-98,
Colorado,District,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Colorado,District,Administrative Agency Appeals,False,False,False,False,False,False,-98,-98,
Colorado,Municipal,Misdemeanor,False,False,False,False,False,True,-98,-98,Domestic Violence Only.
Colorado,Municipal,Felony,False,False,False,False,False,True,-98,-98,Domestic Violence Only.
Colorado,Municipal,Traffic Infractions,False,False,False,False,False,False,-98,-98,
Colorado,Municipal,Ordinance Violations,False,False,False,False,True,False,-98,-98,
Colorado,Municipal,Parking,False,False,False,False,False,False,-98,-98,
Colorado,Water,Real Property,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Probate/Estate,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Guardianship,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Mental Health,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Writ,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Paternity,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Custody,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Support,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Adoption,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Status Offenses,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Juvenile,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Probate/Wills/Interstate,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Estate,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Tax,False,False,False,False,False,False,-98,-98,
Connecticut,Probate,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Tort,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Contract,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Employment,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Real Property,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Landlord/Tenant,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Mental Health,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Small Claims,False,False,False,False,True,False,0,5000,
Connecticut,Superior,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Writ,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Dissolution,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Paternity,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Custody,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Support,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Visitation,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Adoption,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Misdemeanor,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Felony,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Status Offenses,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Juvenile,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Traffic Infractions,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Mortgage Foreclosure,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Ordinance Violations,False,False,False,False,True,False,-98,-98,
Connecticut,Superior,Parking,False,False,False,False,True,False,-98,-98,Uncontested Handled Administratively.
Connecticut,Superior,Civil Protections Orders,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Tax,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Connecticut,Superior,Administrative Agency Appeals,False,False,False,False,True,False,-98,-98,Except Workers' Compensation.
Delaware,Aldermans,Misdemeanor,False,False,False,False,False,False,-98,-98,Jurisdiction Varies by Localities.
Delaware,Aldermans,Traffic Infractions,False,False,False,False,False,False,-98,-98,Jurisdiction Varies by Localities.
Delaware,Aldermans,Ordinance Violations,False,False,False,False,False,False,-98,-98,Jurisdiction Varies by Localities.
Delaware,Aldermans,Parking,False,False,False,False,False,False,-98,-98,Jurisdiction Varies by Localities.
Delaware,Court of Chancery,Tort,False,False,False,False,False,False,-98,-98,
Delaware,Court of Chancery,Contract,False,False,False,False,False,False,-98,-98,Exclusive Contract Involving Delaware Corporations.
Delaware,Court of Chancery,Employment,False,False,False,False,False,False,-98,-98,Exclusive Contract Involving Delaware Corporations.
Delaware,Court of Chancery,Real Property,False,False,False,False,False,False,-98,-98,
Delaware,Court of Chancery,Probate/Estate,False,False,False,False,True,False,-98,-98,
Delaware,Court of Chancery,Guardianship,False,False,False,False,True,False,-98,-98,
Delaware,Court of Chancery,Landlord/Tenant,False,False,False,False,False,False,-98,-98,Exclusive Contract Involving Delaware Corporations.
Delaware,Court of Chancery,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,Exclusive Contract Involving Delaware Corporations.
Delaware,Court of Chancery,Probate/Wills/Interstate,False,False,False,False,True,False,-98,-98,
Delaware,Court of Chancery,Estate,False,False,False,False,True,False,-98,-98,
Delaware,Court of Common Pleas,Tort,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Contract,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Employment,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Real Property,False,False,False,False,False,False,0,50000,
Delaware,Court of Common Pleas,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Writ,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Civil Appeals from Limited Jurisdiction,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Misdemeanor,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Preliminary Hearings,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Criminal Appeals,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Tax,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Non-Domestic Restraining Orders,False,False,False,False,False,False,-98,-98,
Delaware,Court of Common Pleas,Administrative Agency Appeals,False,False,False,False,False,False,-98,-98,
Delaware,Family,Dissolution,False,False,False,False,True,False,-98,-98,
Delaware,Family,Paternity,False,False,False,False,True,False,-98,-98,
Delaware,Family,Custody,False,False,False,False,True,False,-98,-98,
Delaware,Family,Support,False,False,False,False,True,False,-98,-98,
Delaware,Family,Visitation,False,False,False,False,True,False,-98,-98,
Delaware,Family,Adoption,False,False,False,False,True,False,-98,-98,
Delaware,Family,Misdemeanor,False,False,False,False,False,True,-98,-98,
Delaware,Family,Status Offenses,False,False,False,False,False,False,-98,-98,
Delaware,Family,Juvenile,False,False,False,False,False,False,-98,-98,
Delaware,Family,Traffic Infractions,False,False,False,False,False,False,-98,-98,Juvenile Only.
Delaware,Family,Civil Protections Orders,False,False,False,False,True,False,-98,-98,
Delaware,Justice of the Peace,Tort,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Contract,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Employment,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Real Property,False,False,False,False,False,False,0,15000,
Delaware,Justice of the Peace,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Misdemeanor,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Traffic Infractions,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Ordinance Violations,False,False,False,False,False,False,-98,-98,
Delaware,Justice of the Peace,Parking,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Tort,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Contract,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Employment,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Real Property,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Landlord/Tenant,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Mental Health,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Miscellaneous Civil,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Writ,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Civil Appeals from Limited Jurisdiction,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Misdemeanor,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Felony,False,False,False,False,True,False,-98,-98,
Delaware,Superior,Criminal Appeals,False,False,False,False,False,False,-98,-98,
Delaware,Superior,Mortgage Foreclosure,False,False,False,False,False,False,-98,-98,
